"point","lambda","low","high","year"
"observed (w/ culling)",-91.7864729587444,-379.047975273144,173.475648958936,1993
"observed (w/ culling)",-80.3657022134664,-372.458369380537,160.284095516549,1994
"observed (w/ culling)",-409.523052932779,-640.086968901812,-235.598981735181,1995
"observed (w/ culling)",-99.8526620350612,-236.634403498606,8.55257610792017,1996
"observed (w/ culling)",-114.307923985567,-215.172542212574,-30.5033271148793,1997
"observed (w/ culling)",-8.6381516973325,-75.3027159313379,48.6239673932215,1998
"observed (w/ culling)",-7.35361605166685,-67.1458946608648,45.077841097053,1999
"observed (w/ culling)",3.77360448719396,-48.2160083729885,52.4674983887363,2000
"observed (w/ culling)",52.1290664010791,-3.72160686973008,109.529877263438,2001
"observed (w/ culling)",25.3883552773472,-28.5090674648332,78.0908063048419,2002
"observed (w/ culling)",-27.6796189786935,-87.2797698648293,30.4363972169452,2003
"observed (w/ culling)",27.1939570679843,-39.2767201732494,87.6703920160669,2004
"observed (w/ culling)",-26.5852435137564,-89.1007264343869,32.598041971677,2005
"observed (w/ culling)",-36.5251385380893,-97.3120000908117,22.0932943351618,2006
"observed (w/ culling)",-30.670598903689,-83.255861034674,16.7310681524156,2007
"observed (w/ culling)",-50.6206012299138,-97.6769048131883,-6.4162378464131,2008
"uniform age structure",556.792132721973,273.246949629159,929.483494607356,1993
"uniform age structure",289.29181743226,68.5146099771977,557.055307667331,1994
"uniform age structure",552.743358592326,314.068960098057,825.781847093408,1995
"uniform age structure",252.374491693382,142.65244026142,378.076648872695,1996
"uniform age structure",196.578849882614,100.359993229083,300.15135165295,1997
"uniform age structure",148.33103243672,86.2295322314416,224.308642463697,1998
"uniform age structure",158.603857628628,98.1543233237169,232.402566154299,1999
"uniform age structure",144.831758845204,89.869649854234,213.983099340375,2000
"uniform age structure",163.874276206627,101.58839045179,244.718154733081,2001
"uniform age structure",223.385114416348,150.033893143995,315.702799354392,2002
"uniform age structure",222.991863739374,148.646946461568,317.83463683629,2003
"uniform age structure",202.507856033391,130.03605636032,293.114396104627,2004
"uniform age structure",221.53507080922,146.805493447629,315.944455524809,2005
"uniform age structure",200.712436021991,125.754894356498,289.47584127721,2006
"uniform age structure",171.643513466384,102.130599273804,251.830773535548,2007
"uniform age structure",144.461787545929,90.5073764698046,213.931793221276,2008
"skip culling",844.056184742819,428.709523639284,1461.0592048206,1993
"skip culling",412.346161723206,49.6775930234633,969.47485548962,1994
"skip culling",563.330978859816,267.530274442229,901.656854425141,1995
"skip culling",198.699455141659,62.8159534439444,331.214419737869,1996
"skip culling",147.763410253959,45.9459264518383,237.468973173288,1997
"skip culling",102.683088170912,36.5557461775292,159.408499094142,1998
"skip culling",111.97878343782,52.1222364261904,167.651192607856,1999
"skip culling",103.41291072504,50.6556443214804,152.657489045981,2000
"skip culling",128.917079735332,70.8281347594946,188.310894339196,2001
"skip culling",176.43835864559,117.477400369352,238.04316354801,2002
"skip culling",156.08503264962,93.4738542563272,215.970492463692,2003
"skip culling",140.002400630628,69.7745216717602,204.962715149418,2004
"skip culling",169.064505313486,104.554215078893,234.938153507355,2005
"skip culling",139.909345572125,76.5994307069454,200.288681039232,2006
"skip culling",89.2006413393367,34.1373479656889,137.364019325782,2007
"skip culling",67.9959310862486,20.220559716846,114.277477789683,2008
"stable age structure",312.178176853097,28.3895277496653,604.644179971787,1993
"stable age structure",132.509463461943,-122.830110605241,407.722211089586,1994
"stable age structure",241.121483764959,-15.030822698022,445.277243841889,1995
"stable age structure",148.881269454233,34.7384369593316,256.359959922914,1996
"stable age structure",93.9229537013014,-13.2814729838946,189.494478327983,1997
"stable age structure",95.5544240324689,32.5984100051723,158.38922476107,1998
"stable age structure",108.312005598449,52.4182893319738,167.832679303493,1999
"stable age structure",104.145895319653,55.6724903079526,153.926704073377,2000
"stable age structure",97.4896412657891,46.6296772872244,153.140497244123,2001
"stable age structure",126.207988460231,59.2689686508156,189.579206807904,2002
"stable age structure",138.763773965438,74.968323458784,204.187552519627,2003
"stable age structure",104.077337676226,29.1005303200909,177.871306163667,2004
"stable age structure",112.23432871662,40.4445977437203,186.520258915677,2005
"stable age structure",71.2547785570767,9.43627178294612,133.303211174442,2006
"stable age structure",42.9095874188102,-19.7504951627229,106.220268738637,2007
"stable age structure",39.8040720072803,-16.9745642368955,100.936884409714,2008
